warehouse_id,part_id,on_hand,reserved,reorder_point,updated_at
W-03,P-00001,1253,218,188,2026-06-13T23:14:20Z
W-08,P-00002,1749,301,276,2026-06-28T10:02:35Z
W-06,P-00002,1785,232,188,2026-06-04T17:33:47Z
W-01,P-00003,1389,203,279,2026-06-17T16:01:21Z
W-04,P-00003,1660,215,105,2026-06-01T08:34:12Z
W-07,P-00004,982,55,198,2026-06-02T01:16:32Z
W-04,P-00004,225,4,129,2026-06-18T16:28:24Z
W-01,P-00004,1517,244,285,2026-06-05T12:23:12Z
W-01,P-00005,166,6,246,2026-06-18T20:05:44Z
W-03,P-00005,1163,188,68,2026-06-16T23:51:06Z
W-06,P-00005,1006,97,275,2026-06-05T19:10:02Z
W-06,P-00006,310,64,120,2026-06-03T01:36:40Z
W-02,P-00006,374,41,104,2026-06-07T19:46:55Z
W-04,P-00006,1237,175,261,2026-06-01T02:58:01Z
W-07,P-00007,1067,40,56,2026-06-17T23:03:48Z
W-03,P-00007,1777,71,297,2026-06-23T20:57:48Z
W-02,P-00008,1723,155,70,2026-06-22T06:53:04Z
W-05,P-00009,1495,206,215,2026-06-29T06:53:08Z
W-06,P-00009,533,110,128,2026-06-04T02:17:04Z
W-06,P-00010,1723,292,52,2026-06-19T19:57:18Z
W-08,P-00010,1296,222,82,2026-06-23T13:25:32Z
W-07,P-00010,268,51,54,2026-06-09T03:53:16Z
W-01,P-00011,486,39,285,2026-06-19T01:51:05Z
W-08,P-00012,1868,285,59,2026-06-21T09:17:37Z
W-01,P-00012,1570,306,200,2026-06-15T13:15:52Z
W-02,P-00013,428,17,71,2026-06-13T14:40:29Z
W-07,P-00013,1344,77,292,2026-06-23T04:52:40Z
W-05,P-00014,1872,172,204,2026-06-17T19:45:57Z
W-03,P-00014,229,25,118,2026-06-08T03:22:09Z
W-07,P-00014,524,75,63,2026-06-28T14:49:27Z
W-05,P-00015,1059,125,162,2026-06-28T18:05:48Z
W-05,P-00016,1534,179,222,2026-06-04T15:59:58Z
W-08,P-00016,180,18,135,2026-06-25T13:50:04Z
W-01,P-00016,685,90,134,2026-06-14T15:07:45Z
W-05,P-00017,1418,185,193,2026-06-14T18:34:40Z
W-01,P-00017,584,145,287,2026-06-28T13:45:59Z
W-08,P-00017,1852,122,84,2026-06-12T14:35:25Z
W-06,P-00018,617,11,128,2026-06-06T03:55:36Z
W-05,P-00019,1772,265,125,2026-06-26T04:31:47Z
W-03,P-00020,1005,197,281,2026-06-23T00:00:42Z
W-02,P-00020,1501,1,58,2026-06-27T11:15:49Z
W-05,P-00020,277,9,206,2026-06-24T08:17:14Z
W-01,P-00021,1518,376,287,2026-06-28T13:19:05Z
W-06,P-00021,1034,252,179,2026-06-10T18:43:56Z
W-08,P-00021,1837,36,231,2026-06-04T15:00:22Z
W-02,P-00022,50,11,101,2026-06-07T08:24:20Z
W-01,P-00022,782,14,279,2026-06-14T00:58:48Z
W-02,P-00023,108,18,190,2026-06-22T22:01:56Z
W-08,P-00023,1316,254,246,2026-06-06T02:02:46Z
W-04,P-00023,1716,92,145,2026-06-29T19:51:45Z
W-04,P-00024,661,101,80,2026-06-29T07:04:09Z
W-04,P-00025,492,116,74,2026-06-01T15:20:12Z
W-06,P-00025,1010,111,145,2026-06-26T07:43:42Z
W-06,P-00026,1856,333,214,2026-06-27T19:40:43Z
W-04,P-00027,344,79,67,2026-06-02T05:01:34Z
W-06,P-00028,231,31,245,2026-06-10T09:27:05Z
W-08,P-00029,1085,208,238,2026-06-04T03:33:20Z
W-04,P-00029,1736,423,266,2026-06-22T18:54:27Z
W-07,P-00030,987,207,53,2026-06-12T02:56:43Z
W-04,P-00030,1581,220,137,2026-06-16T13:36:27Z
W-05,P-00030,1739,42,236,2026-06-25T04:47:48Z
W-02,P-00031,790,53,296,2026-06-10T18:33:34Z
W-08,P-00031,69,5,90,2026-06-12T19:13:36Z
W-05,P-00032,1928,179,201,2026-06-03T12:22:52Z
W-08,P-00033,1150,40,242,2026-06-30T16:59:52Z
W-04,P-00033,1958,377,291,2026-06-08T22:48:52Z
W-07,P-00033,1016,70,87,2026-06-10T17:15:31Z
W-07,P-00034,561,35,63,2026-06-18T04:52:42Z
W-02,P-00034,874,139,185,2026-06-09T14:09:54Z
W-02,P-00035,1375,13,289,2026-06-15T06:01:07Z
W-05,P-00035,1076,63,231,2026-06-18T21:18:19Z
W-08,P-00035,1906,144,131,2026-06-27T13:05:49Z
W-03,P-00036,349,83,181,2026-06-04T13:03:26Z
W-02,P-00037,434,37,121,2026-06-21T15:10:21Z
W-04,P-00037,1290,65,167,2026-06-03T15:22:18Z
W-03,P-00037,1093,190,155,2026-06-26T05:57:58Z
W-08,P-00038,1308,210,159,2026-06-27T22:09:53Z
W-04,P-00038,17,2,205,2026-06-30T11:28:22Z
W-01,P-00039,1695,408,236,2026-06-12T05:41:53Z
W-02,P-00039,1802,418,180,2026-06-08T07:09:21Z
W-08,P-00040,962,118,235,2026-06-12T19:28:19Z
W-05,P-00040,112,7,291,2026-06-24T12:45:58Z
W-01,P-00040,499,86,100,2026-06-20T23:12:34Z
W-02,P-00041,1401,47,161,2026-06-08T10:50:33Z
W-04,P-00042,1034,201,92,2026-06-23T19:13:22Z
W-03,P-00043,445,73,164,2026-06-15T13:43:21Z
W-06,P-00043,1613,335,258,2026-06-23T08:31:18Z
W-04,P-00043,1554,151,275,2026-06-02T02:36:38Z
W-05,P-00044,157,24,261,2026-06-18T05:18:09Z
W-02,P-00044,1259,308,56,2026-06-11T15:20:36Z
W-08,P-00044,999,210,236,2026-06-03T11:10:45Z
W-02,P-00045,370,39,52,2026-06-01T08:08:06Z
W-06,P-00046,349,82,172,2026-06-09T18:52:13Z
W-07,P-00047,945,148,62,2026-06-26T15:28:51Z
W-06,P-00048,231,6,100,2026-06-17T10:21:53Z
W-01,P-00049,1829,129,63,2026-06-03T12:08:39Z
W-08,P-00050,949,53,238,2026-06-12T03:26:13Z
W-04,P-00050,1105,114,273,2026-06-02T10:39:52Z
W-06,P-00050,1604,311,250,2026-06-20T03:38:00Z
W-06,P-00051,1502,319,51,2026-06-17T22:45:34Z
W-01,P-00052,318,10,164,2026-06-02T21:40:36Z
W-05,P-00052,1990,442,112,2026-06-23T19:12:44Z
W-02,P-00053,347,66,144,2026-06-16T20:37:27Z
W-06,P-00053,560,73,157,2026-06-21T22:07:13Z
W-04,P-00053,1020,115,283,2026-06-21T19:54:20Z
W-04,P-00054,171,32,52,2026-06-02T04:34:48Z
W-01,P-00054,164,28,283,2026-06-05T17:11:15Z
W-02,P-00055,1816,135,206,2026-06-01T17:29:10Z
W-05,P-00055,1005,154,162,2026-06-30T03:48:06Z
W-08,P-00056,1198,72,223,2026-06-05T04:16:33Z
W-05,P-00056,1302,146,184,2026-06-27T08:52:45Z
W-02,P-00057,1942,3,57,2026-06-10T20:31:30Z
W-01,P-00057,1708,64,291,2026-06-08T15:16:10Z
W-08,P-00057,163,37,175,2026-06-15T09:20:15Z
W-04,P-00058,333,11,296,2026-06-17T06:11:25Z
W-05,P-00058,979,173,279,2026-06-29T02:23:36Z
W-01,P-00058,1255,309,151,2026-06-16T22:22:52Z
W-05,P-00059,681,13,246,2026-06-14T02:07:51Z
W-05,P-00060,947,186,205,2026-06-17T07:57:53Z
W-02,P-00060,1182,139,94,2026-06-19T06:03:45Z
W-04,P-00061,1178,142,145,2026-06-28T09:55:39Z
W-07,P-00062,544,41,104,2026-06-06T07:23:51Z
W-08,P-00063,224,38,144,2026-06-01T08:49:49Z
W-05,P-00064,22,1,184,2026-06-02T06:34:01Z
W-04,P-00064,15,0,184,2026-06-20T20:51:58Z
W-01,P-00064,1114,256,166,2026-06-04T00:16:31Z
W-08,P-00065,841,37,176,2026-06-23T02:27:13Z
W-06,P-00065,1511,347,263,2026-06-01T07:13:31Z
W-04,P-00066,369,18,170,2026-06-01T05:09:22Z
W-06,P-00066,67,14,247,2026-06-12T16:22:55Z
W-02,P-00067,1591,286,269,2026-06-28T15:14:14Z
W-07,P-00067,285,2,178,2026-06-01T11:53:59Z
W-03,P-00068,126,8,271,2026-06-07T12:16:59Z
W-05,P-00069,1739,16,192,2026-06-26T06:45:51Z
W-04,P-00069,586,21,76,2026-06-18T15:59:53Z
W-08,P-00069,1370,30,300,2026-06-13T16:40:51Z
W-07,P-00070,1330,127,106,2026-06-12T00:04:09Z
W-06,P-00071,1782,76,274,2026-06-15T00:03:00Z
W-03,P-00071,81,12,202,2026-06-06T04:48:10Z
W-08,P-00072,160,31,286,2026-06-28T13:31:55Z
W-05,P-00072,966,162,66,2026-06-06T14:32:15Z
W-06,P-00072,1774,362,293,2026-06-02T19:38:43Z
W-08,P-00073,780,128,293,2026-06-16T19:32:11Z
W-06,P-00073,934,216,197,2026-06-27T11:15:18Z
W-02,P-00074,1875,249,269,2026-06-16T16:51:59Z
W-04,P-00074,469,23,192,2026-06-18T21:33:58Z
W-05,P-00075,515,77,295,2026-06-06T08:26:23Z
W-06,P-00076,1118,59,285,2026-06-23T10:44:16Z
W-05,P-00077,132,33,259,2026-06-07T19:14:58Z
W-03,P-00078,158,5,90,2026-06-21T07:00:47Z
W-04,P-00078,843,143,292,2026-06-26T11:03:37Z
W-01,P-00078,1272,136,267,2026-06-13T23:53:13Z
W-06,P-00079,1233,155,256,2026-06-15T16:13:20Z
W-02,P-00079,1282,318,262,2026-06-06T04:06:27Z
W-01,P-00079,1042,157,163,2026-06-26T05:10:12Z
W-06,P-00080,206,39,65,2026-06-28T15:41:24Z
W-05,P-00080,711,158,63,2026-06-15T17:43:24Z
W-07,P-00080,1295,296,187,2026-06-11T23:40:23Z
W-05,P-00081,1855,423,220,2026-06-19T06:08:28Z
W-02,P-00081,1557,229,273,2026-06-21T02:08:34Z
W-05,P-00082,423,9,92,2026-06-27T16:31:13Z
W-01,P-00083,864,43,86,2026-06-16T20:07:21Z
W-02,P-00084,1755,21,236,2026-06-01T13:45:35Z
W-06,P-00085,1594,327,145,2026-06-06T06:39:55Z
W-05,P-00085,388,1,234,2026-06-29T16:21:16Z
W-07,P-00085,238,56,256,2026-06-14T14:47:55Z
W-02,P-00086,767,124,62,2026-06-15T12:48:55Z
W-08,P-00087,964,93,183,2026-06-04T06:54:37Z
W-05,P-00088,504,96,168,2026-06-24T19:13:50Z
W-08,P-00088,311,40,101,2026-06-20T22:02:20Z
W-02,P-00088,588,87,216,2026-06-13T10:18:39Z
W-06,P-00089,1295,67,63,2026-06-18T14:14:45Z
W-04,P-00089,652,151,283,2026-06-05T10:11:40Z
W-07,P-00090,1950,300,146,2026-06-17T12:35:09Z
W-02,P-00090,1384,75,275,2026-06-03T10:25:25Z
W-01,P-00091,384,72,292,2026-06-23T05:43:15Z
W-06,P-00091,1584,115,56,2026-06-24T04:47:55Z
W-04,P-00091,217,28,190,2026-06-24T09:45:22Z
W-07,P-00092,932,8,147,2026-06-10T10:31:18Z
W-06,P-00093,1614,172,142,2026-06-15T12:29:05Z
W-08,P-00094,1529,379,168,2026-06-14T21:02:26Z
W-04,P-00094,1978,258,216,2026-06-01T17:23:35Z
W-07,P-00094,611,29,214,2026-06-01T18:43:53Z
W-03,P-00095,1601,266,287,2026-06-07T22:33:16Z
W-07,P-00096,457,46,68,2026-06-19T22:09:22Z
W-05,P-00097,1382,338,161,2026-06-18T02:28:32Z
W-03,P-00097,1410,160,114,2026-06-25T12:23:34Z
W-01,P-00097,458,85,144,2026-06-09T03:24:31Z
W-04,P-00098,806,87,172,2026-06-14T17:56:29Z
W-06,P-00099,1249,169,199,2026-06-08T22:08:34Z
W-02,P-00100,1081,50,222,2026-06-25T15:55:04Z
W-07,P-00100,829,178,250,2026-06-15T09:58:24Z
W-03,P-00101,120,20,85,2026-06-21T22:25:21Z
W-07,P-00101,881,163,215,2026-06-11T08:34:34Z
W-04,P-00102,387,84,84,2026-06-05T06:02:15Z
