order_id,line_no,part_id,qty,unit_price_cents
O-100001,1,P-02028,5,255497
O-100001,2,P-01998,15,32361
O-100001,3,P-01267,15,373750
O-100001,4,P-03355,24,398292
O-100002,1,P-04168,18,250585
O-100002,2,P-01013,15,313130
O-100002,3,P-04757,21,223215
O-100002,4,P-02400,23,246355
O-100002,5,P-03153,15,79958
O-100003,1,P-04974,7,41627
O-100003,2,P-01589,14,500000
O-100003,3,P-00598,16,14923
O-100004,1,P-03350,1,30317
O-100004,2,P-04134,22,43458
O-100004,3,P-02136,11,143372
O-100004,4,P-04945,8,179510
O-100005,1,P-00261,3,93821
O-100005,2,P-01568,13,174166
O-100006,1,P-00122,7,8276
O-100006,2,P-02798,18,23885
O-100006,3,P-01994,22,11166
O-100006,4,P-02478,18,30672
O-100006,5,P-00338,8,8430
O-100007,1,P-04196,1,246034
O-100008,1,P-03469,18,66423
O-100008,2,P-01108,2,54722
O-100009,1,P-02994,9,1371
O-100009,2,P-01589,25,500000
O-100009,3,P-00590,22,12721
O-100009,4,P-00904,8,128274
O-100009,5,P-02897,19,193086
O-100010,1,P-02602,19,7298
O-100011,1,P-03443,2,652376
O-100011,2,P-01503,10,68667
O-100011,3,P-01931,13,386473
O-100011,4,P-03114,2,5813
O-100011,5,P-02894,5,22310
O-100012,1,P-04524,11,190691
O-100012,2,P-04958,4,64748
O-100012,3,P-01080,21,174908
O-100012,4,P-01185,18,87701
O-100013,1,P-02764,14,164770
O-100013,2,P-00354,5,5659
O-100014,1,P-04768,5,115890
O-100014,2,P-04067,23,494744
O-100014,3,P-00145,20,62201
O-100014,4,P-03234,17,7784
O-100015,1,P-04350,2,66736
O-100015,2,P-03242,18,5003
O-100015,3,P-03428,7,264948
O-100015,4,P-03066,14,9537
O-100016,1,P-00932,2,6000
O-100016,2,P-02384,15,158732
O-100017,1,P-00678,1,22675
O-100017,2,P-02299,7,554095
O-100017,3,P-01620,20,80295
O-100017,4,P-04740,1,235699
O-100018,1,P-01451,1,313369
O-100018,2,P-03259,21,824551
O-100018,3,P-00325,6,253540
O-100018,4,P-03952,21,221222
O-100019,1,P-04288,3,153261
O-100019,2,P-04377,8,189987
O-100019,3,P-04339,6,245801
O-100019,4,P-01408,15,169436
O-100020,1,P-01417,19,267395
O-100020,2,P-01108,15,54722
O-100021,1,P-02039,10,143816
O-100021,2,P-04512,8,172445
O-100021,3,P-02423,21,128364
O-100021,4,P-04009,3,193778
O-100021,5,P-03014,17,43371
O-100022,1,P-00427,24,543739
O-100022,2,P-00471,9,156358
O-100022,3,P-03896,25,132090
O-100022,4,P-04703,14,46120
O-100022,5,P-01423,7,126664
O-100023,1,P-02945,9,84967
O-100023,2,P-02995,11,643280
O-100023,3,P-00140,18,193233
O-100024,1,P-03808,24,24440
O-100024,2,P-00257,7,176622
O-100024,3,P-04761,4,362673
O-100024,4,P-00445,15,500000
O-100025,1,P-04814,10,41426
O-100025,2,P-04099,7,660821
O-100025,3,P-00020,7,166419
O-100026,1,P-00151,3,167655
O-100026,2,P-00947,10,516144
O-100026,3,P-00400,13,109678
O-100027,1,P-02678,1,32292
O-100027,2,P-01521,14,15000
O-100028,1,P-03177,24,330783
O-100029,1,P-00959,4,145684
O-100029,2,P-03106,10,8587
O-100030,1,P-00703,19,83385
O-100030,2,P-03678,10,58252
O-100030,3,P-00992,11,197518
O-100030,4,P-04933,15,142809
O-100031,1,P-02966,23,47372
O-100031,2,P-00237,1,231961
O-100031,3,P-04540,1,201785
O-100031,4,P-00603,25,876284
O-100031,5,P-04899,11,705927
O-100032,1,P-01851,3,263448
O-100032,2,P-02989,16,308606
O-100032,3,P-04900,14,325231
O-100032,4,P-03024,8,163673
O-100033,1,P-01522,25,2815
O-100033,2,P-04320,13,164999
O-100034,1,P-00178,6,12847
O-100034,2,P-01381,7,203259
O-100034,3,P-02416,12,22078
O-100034,4,P-04761,15,362673
O-100035,1,P-03857,11,335061
O-100035,2,P-00701,7,254632
O-100035,3,P-04083,5,466444
O-100036,1,P-02850,11,2601
O-100036,2,P-01338,17,300
O-100036,3,P-03226,15,12180
O-100036,4,P-01000,17,251370
O-100037,1,P-04538,4,10107
O-100037,2,P-02043,11,547037
O-100037,3,P-00809,4,242637
O-100037,4,P-03911,3,126939
O-100038,1,P-02554,7,5249
O-100038,2,P-02985,3,348207
O-100038,3,P-02502,22,41937
O-100038,4,P-03412,7,233789
O-100038,5,P-03602,15,6697
O-100039,1,P-00758,22,78358
O-100039,2,P-04698,14,7196
O-100039,3,P-00005,13,335651
O-100040,1,P-00041,4,193758
O-100040,2,P-01574,21,27076
O-100040,3,P-02083,3,517505
O-100040,4,P-00061,16,500000
O-100041,1,P-00302,4,37039
O-100041,2,P-00929,22,155548
O-100042,1,P-00720,11,199842
O-100042,2,P-03728,16,56654
O-100042,3,P-01330,19,10288
O-100042,4,P-00243,13,424722
O-100042,5,P-02003,12,366870
O-100043,1,P-02599,10,52963
O-100044,1,P-04530,4,9392
O-100044,2,P-01217,14,313836
O-100044,3,P-02384,9,158732
O-100044,4,P-00616,7,184133
O-100045,1,P-01001,9,188312
O-100046,1,P-01184,5,143303
O-100046,2,P-02251,8,315770
O-100046,3,P-04327,2,143950
O-100046,4,P-01195,21,487858
O-100047,1,P-03463,17,44792
O-100048,1,P-02849,9,146835
O-100048,2,P-00802,23,8829
O-100048,3,P-02769,14,338139
O-100048,4,P-01220,13,128980
O-100048,5,P-01951,11,125044
O-100049,1,P-01914,14,9849
O-100049,2,P-00808,25,161211
O-100050,1,P-02360,23,51916
O-100050,2,P-00848,7,197100
O-100050,3,P-00788,16,184722
O-100051,1,P-01984,18,151224
O-100051,2,P-00862,20,49626
O-100051,3,P-00098,22,5791
O-100051,4,P-04067,2,494744
O-100052,1,P-03710,4,66970
O-100052,2,P-03079,18,120631
O-100052,3,P-00439,25,179184
O-100053,1,P-02280,10,300000
O-100053,2,P-02323,16,142195
O-100053,3,P-04002,8,2650
O-100054,1,P-03841,2,188949
O-100054,2,P-02037,4,258810
O-100054,3,P-03540,22,186084
O-100054,4,P-04940,14,88283
O-100054,5,P-03915,17,678327
O-100055,1,P-02620,19,137059
O-100055,2,P-00400,7,109678
O-100055,3,P-02082,16,10210
O-100055,4,P-00034,1,5485
O-100056,1,P-04689,6,105401
O-100056,2,P-03668,19,38453
O-100056,3,P-02201,1,409687
O-100056,4,P-00147,11,581947
O-100056,5,P-02937,24,201227
O-100057,1,P-01255,15,5000
O-100057,2,P-04114,24,4840
O-100057,3,P-00553,5,168660
O-100057,4,P-04347,13,827776
O-100057,5,P-02187,13,900000
O-100058,1,P-02360,14,51916
O-100058,2,P-00631,21,55019
O-100059,1,P-01455,17,225113
O-100059,2,P-03998,18,62305
O-100059,3,P-04201,24,241364
O-100059,4,P-00213,24,169406
O-100060,1,P-01230,22,21453
O-100061,1,P-01217,6,313836
O-100061,2,P-01313,11,315494
O-100061,3,P-01718,13,35410
O-100061,4,P-01978,16,12716
O-100061,5,P-00667,16,460769
O-100062,1,P-03514,6,7302
O-100062,2,P-01010,23,3804
O-100062,3,P-03479,15,209415
O-100063,1,P-04070,7,58780
O-100063,2,P-04052,5,176863
O-100064,1,P-01474,24,12653
O-100064,2,P-00830,5,40749
O-100064,3,P-02536,1,183396
O-100065,1,P-02138,15,10364
O-100065,2,P-00917,3,124339
O-100065,3,P-03028,20,338049
O-100065,4,P-04164,23,285456
O-100066,1,P-04642,8,9666
O-100066,2,P-01114,21,9979
O-100066,3,P-02704,1,91006
O-100067,1,P-04028,13,132009
O-100067,2,P-04050,10,7019
O-100067,3,P-04980,22,63858
O-100067,4,P-04972,6,84713
O-100067,5,P-01833,16,203348
O-100068,1,P-03460,22,209933
O-100069,1,P-00850,8,13051
O-100069,2,P-00836,21,47654
O-100069,3,P-00604,7,323630
O-100070,1,P-01460,9,249746
O-100071,1,P-00849,5,365176
O-100071,2,P-01397,24,282943
O-100071,3,P-01730,5,3947
O-100072,1,P-04291,23,360013
O-100072,2,P-02636,16,77592
O-100073,1,P-02037,16,258810
O-100074,1,P-01681,4,15000
O-100074,2,P-03930,14,2393
O-100074,3,P-01389,24,243111
O-100074,4,P-01015,18,145623
O-100074,5,P-01845,6,157294
O-100075,1,P-01714,20,8480
O-100075,2,P-03657,8,338454
O-100075,3,P-00554,3,300
O-100075,4,P-03051,15,25000
O-100075,5,P-00875,18,576115
O-100076,1,P-04427,7,519792
O-100076,2,P-00026,15,4646
O-100077,1,P-04455,4,144639
O-100077,2,P-01011,8,470108
O-100078,1,P-01385,10,15000
O-100078,2,P-02509,1,207692
O-100078,3,P-03001,15,228661
O-100078,4,P-02566,16,40627
O-100079,1,P-02638,5,50694
O-100079,2,P-04160,7,198641
O-100079,3,P-04250,9,6161
O-100080,1,P-01468,2,350000
O-100080,2,P-04626,5,13356
O-100080,3,P-01904,24,120898
O-100080,4,P-04240,18,159968
O-100080,5,P-02638,9,50694
O-100081,1,P-03984,12,172052
O-100081,2,P-02901,14,184236
O-100081,3,P-01796,25,186191
O-100081,4,P-03806,10,13842
O-100081,5,P-00575,4,157814
O-100082,1,P-03124,14,38491
O-100083,1,P-01747,19,476498
O-100083,2,P-01909,3,205350
O-100083,3,P-00743,23,103891
O-100083,4,P-00819,14,615077
O-100084,1,P-01805,8,253825
O-100084,2,P-00210,16,8342
O-100084,3,P-04874,7,6081
O-100085,1,P-04038,25,15106
O-100085,2,P-00633,7,104577
O-100085,3,P-03822,16,35209
O-100085,4,P-00069,19,227182
O-100086,1,P-01124,17,159093
O-100086,2,P-00417,5,98064
O-100086,3,P-00120,2,84448
O-100086,4,P-02350,16,2000
O-100086,5,P-03040,5,110499
O-100087,1,P-01041,18,450000
O-100087,2,P-02446,9,44780
O-100087,3,P-03536,16,229033
O-100088,1,P-01102,1,16308
O-100088,2,P-04715,11,590107
O-100088,3,P-04964,23,166491
O-100089,1,P-03689,6,234448
O-100090,1,P-00186,18,2990
O-100090,2,P-01919,4,71621
O-100090,3,P-02571,19,301294
O-100090,4,P-02629,20,342387
O-100090,5,P-00092,25,187518
O-100091,1,P-02275,11,423677
O-100091,2,P-02637,23,269549
O-100091,3,P-03568,15,234955
O-100092,1,P-02159,11,165092
O-100092,2,P-02412,9,188200
O-100092,3,P-01520,2,106372
O-100092,4,P-00276,21,180274
O-100093,1,P-03968,6,183178
O-100093,2,P-02299,2,554095
O-100093,3,P-00079,4,249762
O-100093,4,P-04621,24,138759
O-100094,1,P-00291,3,311645
O-100094,2,P-00197,8,305196
O-100095,1,P-04415,21,115446
O-100095,2,P-00428,16,150454
O-100095,3,P-03176,1,152006
O-100096,1,P-02944,1,166766
O-100096,2,P-02535,2,121534
O-100096,3,P-04253,1,422713
O-100096,4,P-02109,2,274310
O-100097,1,P-02064,17,67627
O-100097,2,P-03785,7,301269
O-100097,3,P-03155,10,349423
O-100098,1,P-02311,18,188535
O-100099,1,P-03458,17,3144
O-100099,2,P-00496,2,231847
O-100099,3,P-00682,23,7068
O-100099,4,P-01577,16,340793
O-100100,1,P-00875,12,576115
O-100100,2,P-03147,6,151861
O-100101,1,P-02703,4,154770
O-100101,2,P-04929,11,422744
O-100101,3,P-00185,1,150650
O-100101,4,P-02526,15,55491
O-100101,5,P-01969,3,166494
O-100102,1,P-03967,21,148672
O-100102,2,P-03173,2,60345
O-100102,3,P-01546,23,8735
O-100102,4,P-00832,8,96224
O-100103,1,P-03866,10,11663
O-100103,2,P-00475,13,567322
O-100103,3,P-01329,4,144582
O-100103,4,P-02968,14,151186
O-100104,1,P-02994,25,1371
O-100104,2,P-04138,6,9773
O-100104,3,P-04973,9,393048
O-100105,1,P-00722,8,14286
O-100106,1,P-04040,25,105606
O-100106,2,P-04880,19,188071
O-100106,3,P-01288,15,225668
O-100107,1,P-04344,1,96067
O-100107,2,P-04713,1,15000
O-100107,3,P-02505,19,231031
O-100108,1,P-03320,5,184317
O-100108,2,P-01923,21,210886
O-100108,3,P-04752,24,261725
O-100109,1,P-01999,14,129424
O-100109,2,P-03920,9,108522
O-100109,3,P-03255,19,176489
O-100109,4,P-03911,16,126939
O-100110,1,P-02873,19,99697
O-100110,2,P-00914,4,9115
O-100111,1,P-03657,14,338454
O-100111,2,P-02512,14,300000
O-100111,3,P-03618,23,3966
O-100111,4,P-03566,13,9556
O-100111,5,P-03750,25,45637
O-100112,1,P-01341,5,348005
O-100112,2,P-03118,11,80000
O-100112,3,P-02074,19,6541
O-100113,1,P-04066,25,8952
O-100113,2,P-00127,15,94300
O-100113,3,P-04350,11,66736
O-100113,4,P-02909,19,294754
O-100113,5,P-03445,4,62389
O-100114,1,P-03406,15,43884
O-100114,2,P-03973,16,110439
O-100114,3,P-00381,16,94559
O-100114,4,P-02483,4,595132
O-100114,5,P-02274,9,7885
O-100115,1,P-01105,12,186105
O-100116,1,P-02098,21,1727
O-100116,2,P-02312,20,143189
O-100116,3,P-00294,23,49642
O-100117,1,P-03191,9,97571
O-100117,2,P-01774,9,39730
O-100117,3,P-04020,24,228481
O-100118,1,P-03198,11,12617
O-100118,2,P-03359,23,105496
O-100118,3,P-01725,9,500000
O-100118,4,P-01983,6,202798
O-100119,1,P-01768,6,106698
O-100119,2,P-00081,16,198307
O-100119,3,P-03681,24,65437
O-100120,1,P-03188,18,34644
O-100120,2,P-04685,16,151304
O-100120,3,P-02679,2,125636
O-100120,4,P-04158,23,6369
O-100121,1,P-03303,14,79347
O-100121,2,P-00188,20,205911
O-100121,3,P-01924,18,263589
O-100121,4,P-03357,1,473428
O-100122,1,P-04432,10,179504
O-100122,2,P-01413,7,171945
O-100122,3,P-04916,23,164750
O-100123,1,P-03542,12,53242
O-100124,1,P-04023,10,163433
O-100124,2,P-00870,19,43757
O-100124,3,P-03442,3,12954
O-100125,1,P-00178,11,12847
O-100125,2,P-03857,20,335061
O-100125,3,P-01423,6,126664
O-100126,1,P-03903,5,250000
O-100126,2,P-04344,7,96067
O-100126,3,P-00508,2,55247
O-100126,4,P-03936,16,103764
O-100126,5,P-04175,22,32208
O-100127,1,P-04748,7,153412
O-100127,2,P-00151,25,167655
O-100127,3,P-01159,16,120302
O-100128,1,P-02306,1,7399
O-100128,2,P-00801,3,129719
O-100128,3,P-04524,23,190691
O-100129,1,P-00967,21,77909
O-100130,1,P-00559,18,16557
O-100130,2,P-00877,5,184719
O-100131,1,P-04835,3,490369
O-100131,2,P-02859,21,422903
O-100131,3,P-00786,5,14543
O-100132,1,P-03011,20,422905
O-100133,1,P-01264,10,226605
O-100133,2,P-01777,7,284065
O-100133,3,P-04702,18,44311
O-100134,1,P-01303,10,119404
O-100134,2,P-04341,13,222484
O-100134,3,P-04104,8,156253
O-100135,1,P-00440,24,197154
O-100135,2,P-01996,6,152838
O-100135,3,P-00080,15,27091
O-100136,1,P-01675,2,492768
O-100136,2,P-00612,11,169583
O-100136,3,P-03286,12,60762
O-100136,4,P-01298,7,11000
O-100136,5,P-02931,6,299075
O-100137,1,P-04187,5,361556
O-100137,2,P-02016,13,228436
O-100137,3,P-03817,18,284121
O-100138,1,P-04314,6,6866
O-100138,2,P-04665,17,183899
O-100138,3,P-02199,14,78903
O-100138,4,P-04871,15,193022
O-100138,5,P-00650,6,5608
O-100139,1,P-00684,13,182094
O-100139,2,P-00427,23,543739
O-100139,3,P-02414,6,61836
O-100139,4,P-00148,20,106514
O-100139,5,P-03630,13,45125
O-100140,1,P-00822,8,55436
O-100140,2,P-02595,3,554967
O-100140,3,P-03982,22,32109
O-100141,1,P-03770,4,6605
O-100142,1,P-03739,6,275752
O-100142,2,P-00461,14,217784
O-100143,1,P-02604,19,350000
O-100143,2,P-00246,7,31563
O-100143,3,P-00647,12,78645
O-100144,1,P-04188,13,218279
O-100144,2,P-02476,15,337075
O-100144,3,P-03026,8,6830
O-100145,1,P-03778,9,3945
O-100146,1,P-01911,23,5000
O-100146,2,P-00056,23,135796
O-100146,3,P-01515,15,419208
O-100146,4,P-00850,7,13051
O-100147,1,P-00684,1,182094
O-100148,1,P-04519,20,111878
