order_id,customer_id,status,order_ts,total_cents,currency,region
O-100001,C-1085,cancelled,2025-07-12T19:21:17Z,16928158,USD,EU
O-100002,C-0880,delivered,2025-12-04T10:07:32Z,20760530,GBP,NA
O-100003,C-1542,delivered,2026-06-17T19:52:54Z,7530157,USD,EU
O-100004,C-0710,shipped,2026-01-20T09:41:30Z,3999565,USD,APAC
O-100005,C-0829,shipped,2025-12-08T02:09:32Z,2545621,EUR,NA
O-100006,C-0253,cancelled,2025-06-10T07:26:54Z,1353050,GBP,EU
O-100007,C-0388,delivered,2026-05-24T02:53:41Z,246034,USD,LATAM
O-100008,C-0216,delivered,2025-08-06T03:08:39Z,1305058,USD,NA
O-100009,C-1780,delivered,2026-04-09T16:43:47Z,17487027,USD,EU
O-100010,C-0992,delivered,2025-03-15T04:53:45Z,138662,USD,NA
O-100011,C-1646,delivered,2026-06-08T07:36:39Z,7138747,USD,NA
O-100012,C-0841,cancelled,2026-05-23T05:12:02Z,7608279,USD,NA
O-100013,C-1427,delivered,2025-11-28T02:05:28Z,2335075,JPY,NA
O-100014,C-0134,delivered,2025-08-13T13:02:21Z,13334910,USD,NA
O-100015,C-0132,delivered,2026-04-21T04:31:52Z,2211680,USD,NA
O-100016,C-1132,delivered,2025-10-31T22:58:55Z,2392980,USD,APAC
O-100017,C-1954,delivered,2025-06-02T05:02:51Z,5742939,USD,EU
O-100018,C-1235,cancelled,2025-05-01T10:24:45Z,23795842,USD,NA
O-100019,C-1917,delivered,2025-08-10T16:32:51Z,5996025,USD,NA
O-100020,C-0468,delivered,2025-09-14T10:54:00Z,5901335,GBP,NA
O-100021,C-1374,shipped,2025-09-12T17:52:27Z,6832005,USD,NA
O-100022,C-1100,delivered,2025-08-30T18:47:35Z,19291536,USD,NA
O-100023,C-0819,delivered,2026-04-10T23:42:09Z,11318977,EUR,NA
O-100024,C-0500,delivered,2025-10-08T07:06:30Z,10773606,USD,APAC
O-100025,C-1617,delivered,2026-05-05T10:50:03Z,6204940,GBP,APAC
O-100026,C-0485,delivered,2025-10-19T02:01:29Z,7090219,EUR,EU
O-100027,C-0064,delivered,2026-04-26T01:57:51Z,242292,EUR,LATAM
O-100028,C-0341,refunded,2025-10-25T15:40:51Z,7938792,USD,EU
O-100029,C-0566,delivered,2025-10-28T01:41:58Z,668606,USD,LATAM
O-100030,C-0108,cancelled,2025-05-02T07:05:57Z,6481668,USD,NA
O-100031,C-1887,processing,2025-02-05T21:15:08Z,31195599,USD,NA
O-100032,C-0846,processing,2025-06-30T18:46:49Z,11590658,EUR,NA
O-100033,C-0741,delivered,2025-03-26T23:52:26Z,2215362,USD,LATAM
O-100034,C-0981,refunded,2025-02-12T04:38:39Z,7204926,USD,NA
O-100035,C-0902,delivered,2025-03-05T00:48:27Z,7800315,EUR,EU
O-100036,C-0264,processing,2026-06-14T22:25:34Z,4489701,EUR,EU
O-100037,C-1279,processing,2026-02-12T02:04:19Z,7409200,USD,EU
O-100038,C-0137,delivered,2025-07-24T08:26:04Z,3740956,USD,NA
O-100039,C-0153,cancelled,2026-01-01T00:44:41Z,6188083,GBP,APAC
O-100040,C-1223,delivered,2025-09-04T14:14:24Z,10896143,EUR,EU
O-100041,C-0826,cancelled,2025-03-11T09:19:49Z,3570212,USD,NA
O-100042,C-0258,delivered,2026-02-18T10:00:16Z,13224024,USD,NA
O-100043,C-1956,pending,2025-07-21T13:57:24Z,529630,USD,NA
O-100044,C-1753,delivered,2025-11-06T18:22:26Z,7148791,EUR,EU
O-100045,C-0556,processing,2025-05-15T00:09:12Z,1694808,USD,EU
O-100046,C-1800,refunded,2025-09-04T07:14:24Z,13775593,GBP,EU
O-100047,C-0872,cancelled,2025-08-17T05:48:18Z,761464,USD,NA
O-100048,C-0536,delivered,2025-06-24T05:33:02Z,9310752,USD,LATAM
O-100049,C-0301,delivered,2026-01-20T16:03:53Z,4168161,USD,NA
O-100050,C-1774,delivered,2025-09-02T06:12:25Z,5529320,USD,NA
O-100051,C-1902,shipped,2025-06-23T19:17:30Z,4831442,EUR,NA
O-100052,C-1309,delivered,2025-11-29T14:53:10Z,6918838,USD,EU
O-100053,C-1080,delivered,2025-01-11T15:12:52Z,5296320,USD,EU
O-100054,C-0488,delivered,2025-06-23T03:05:31Z,18274507,USD,EU
O-100055,C-1581,delivered,2025-10-09T19:18:30Z,3540712,EUR,NA
O-100056,C-0170,cancelled,2025-03-31T18:28:51Z,13003565,USD,EU
O-100057,C-1614,shipped,2025-10-03T04:47:18Z,23495548,USD,NA
O-100058,C-1035,delivered,2025-06-09T14:36:23Z,1882223,EUR,EU
O-100059,C-0195,delivered,2025-09-27T00:02:47Z,14806891,GBP,NA
O-100060,C-1344,delivered,2026-01-26T03:35:40Z,471966,EUR,NA
O-100061,C-1683,delivered,2026-03-29T11:51:13Z,13389540,USD,NA
O-100062,C-0281,delivered,2026-06-21T00:58:41Z,3272529,EUR,NA
O-100063,C-1433,delivered,2025-07-22T21:13:35Z,1295775,USD,NA
O-100064,C-0413,delivered,2026-01-18T01:38:21Z,690813,USD,EU
O-100065,C-1248,delivered,2025-01-27T22:35:46Z,13854945,USD,NA
O-100066,C-1263,delivered,2025-09-23T22:24:57Z,377893,USD,APAC
O-100067,C-1769,processing,2025-10-10T19:59:17Z,6953029,USD,APAC
O-100068,C-0432,delivered,2025-09-28T11:35:10Z,4618526,USD,NA
O-100069,C-1608,cancelled,2025-04-10T03:44:55Z,3370552,USD,NA
O-100070,C-0104,delivered,2026-01-05T06:32:45Z,2247714,USD,NA
O-100071,C-0830,refunded,2025-08-05T15:26:04Z,8636247,JPY,APAC
O-100072,C-0372,delivered,2025-05-13T03:24:09Z,9521771,GBP,EU
O-100073,C-0122,cancelled,2026-03-24T00:29:23Z,4140960,USD,EU
O-100074,C-0025,refunded,2025-10-02T09:12:39Z,9493144,USD,NA
O-100075,C-0288,delivered,2025-02-12T00:12:47Z,13623202,USD,EU
O-100076,C-0618,delivered,2026-04-10T22:06:57Z,3708234,USD,APAC
O-100077,C-1307,delivered,2026-05-20T21:18:30Z,4339420,USD,EU
O-100078,C-1625,delivered,2025-02-17T12:51:07Z,4437639,EUR,EU
O-100079,C-1808,refunded,2025-01-13T01:13:06Z,1699406,USD,NA
O-100080,C-1131,processing,2026-06-03T04:19:05Z,7004002,USD,EU
O-100081,C-1008,delivered,2026-03-06T18:53:06Z,10068379,EUR,LATAM
O-100082,C-0658,cancelled,2025-07-02T10:04:21Z,538874,USD,NA
O-100083,C-0853,shipped,2026-01-19T05:58:40Z,20670083,USD,APAC
O-100084,C-1428,delivered,2025-03-23T01:16:08Z,2206639,JPY,EU
O-100085,C-1488,delivered,2025-05-28T19:41:25Z,5989491,USD,NA
O-100086,C-1293,shipped,2025-01-22T08:17:36Z,3948292,USD,APAC
O-100087,C-1652,delivered,2025-05-22T18:16:03Z,12167548,EUR,NA
O-100088,C-0500,delivered,2025-09-07T12:52:19Z,10336778,USD,NA
O-100089,C-1825,delivered,2025-12-09T15:46:05Z,1406688,EUR,NA
